product_id,product_name,category_id,brand,price,cost,stock,launch_date,status,rating_avg,review_count
1,이니스프리 그린티 토너 Premium,61,이니스프리,38200,23441,13,21OCT2023,active,3.94,18
2,LG생활건강 샴푸 700ml Plus,44,LG생활건강,9300,6308,256,24MAY2023,active,4.08,25
3,Samsung 전자레인지 Lite,23,Samsung,672100,423295,345,09MAY2024,active,4.2,25
4,카터스 조거팬츠 Premium,12,카터스,73800,56424,344,10MAR2022,active,3.69,16
5,CJ 비비고 만두 Mini,32,CJ,7300,5564,399,18AUG2025,active,4.26,19
6,설화수 자정 토너 Premium,61,설화수,38900,25889,206,21NOV2025,discontinued,3.81,21
7,농협 감자 3kg Premium,29,농협,2800,1751,171,11FEB2025,active,3.94,18
8,동원 참치캔 Premium,34,동원,5700,4101,463,09DEC2024,discontinued,4.29,17
9,Samsung 갤럭시워치,17,Samsung,270400,151003,269,08AUG2025,active,3.31,16
10,Apple Apple Watch Pro,17,Apple,436000,287409,220,17JUN2024,active,4.0,19
11,맥심 모카 골드 Lite,36,맥심,1500,941,151,16DEC2022,discontinued,4.08,25
12,교보문고 백종원의 육아 레시피 Mini,55,교보문고,8400,6398,182,16JUL2022,active,4.05,21
13,이니스프리 수분 크림 Lite,62,이니스프리,26500,14648,398,05JAN2024,soldout,3.82,22
14,카누 미니,36,카누,3300,2234,71,11MAR2024,active,4.09,22
15,The North Face 후디 자켓 Plus,5,The North Face,38700,27877,417,10JUN2025,discontinued,3.74,19
16,오리온 초코파이 Plus,33,오리온,4400,2910,282,13DEC2025,active,3.95,20
17,Levi's 501 Jeans Plus,4,Levi's,36900,21019,73,31OCT2024,active,3.88,26
18,Starbucks 비아 콜롬비아 Basic,36,Starbucks,7500,5802,354,10SEP2025,active,4.24,21
19,송월타월 호텔 수건 6매 Premium,45,송월타월,10100,6758,496,04APR2023,active,3.87,15
20,해커스 정보처리기사 Basic,58,해커스,14900,10299,327,18FEB2024,discontinued,3.75,12
21,Uniqlo EZY Ankle Pro,4,Uniqlo,86900,52524,534,08MAY2022,active,3.91,11
22,Ottogi 오뚜기 카레 Plus,32,Ottogi,4900,3239,579,19DEC2025,active,3.81,21
23,교보문고 한강 소년이 온다,51,교보문고,15100,9795,446,01JUL2023,active,3.91,11
24,Samsung 갤럭시북 Mini,19,Samsung,464800,263646,372,20NOV2025,active,4.3,23
