user_id,age,gender,channel,vip_grade,total_spent,order_count,recency,churn
u_00001,32,F,WEB,2,1245484,22,51,0
u_00002,36,M,WEB,3,374005,11,0,0
u_00003,37,M,MOBILE,0,3994,0,0,0
u_00004,22,M,WEB,0,53184,3,32,0
u_00005,38,F,MOBILE,1,369491,7,23,0
u_00006,65,M,MOBILE,0,422784,7,16,0
u_00007,55,F,APP,3,1076537,13,0,0
u_00008,31,M,WEB,3,492663,6,0,0
u_00009,54,M,WEB,2,317020,13,82,0
u_00010,27,M,MOBILE,1,379502,7,0,0
u_00011,63,M,AD,0,454816,4,118,1
u_00012,35,M,WEB,3,207045,6,0,0
u_00013,20,M,APP,1,167331,9,52,0
u_00014,41,F,WEB,0,286348,4,15,0
u_00015,31,F,WEB,2,882890,9,1,0
u_00016,27,F,WEB,0,471879,5,32,1
u_00017,23,F,AD,0,4734,0,10,0
u_00018,33,F,AD,2,623213,9,0,0
u_00019,37,F,MOBILE,0,215854,3,7,0
u_00020,41,M,MOBILE,0,662080,6,25,0
u_00021,29,F,WEB,2,721151,8,4,0
u_00022,45,M,APP,0,2386,0,10,0
u_00023,36,F,WEB,0,81770,1,45,0
u_00024,27,F,WEB,1,1054194,13,8,0
u_00025,40,F,AD,2,935276,7,24,0
u_00026,54,M,MOBILE,0,254538,3,4,0
u_00027,20,M,WEB,0,169195,2,26,1
u_00028,48,M,WEB,3,575408,10,0,0
u_00029,31,M,WEB,3,1634433,16,40,0
u_00030,47,F,WEB,1,451554,6,104,0
u_00031,48,M,WEB,0,904148,9,9,1
u_00032,41,M,MOBILE,2,411623,5,30,0
u_00033,32,M,MOBILE,0,103300,2,151,1
u_00034,27,F,MOBILE,0,100102,1,33,0
u_00035,36,F,MOBILE,2,770642,11,46,0
u_00036,24,M,MOBILE,0,424296,5,7,0
u_00037,29,M,WEB,1,277632,6,76,0
u_00038,27,F,WEB,0,630195,5,44,0
u_00039,33,F,REFERRAL,1,159645,2,0,1
u_00040,20,M,APP,0,103215,3,34,1
u_00041,32,M,WEB,0,307520,3,21,0
u_00042,35,M,WEB,2,989891,10,0,0
u_00043,32,M,WEB,4,1003312,15,30,0
u_00044,28,M,MOBILE,3,195000,13,113,0
u_00045,37,M,MOBILE,0,187703,2,55,1
u_00046,45,M,MOBILE,1,640682,11,17,0
u_00047,20,M,REFERRAL,1,452065,5,8,0
u_00048,32,F,MOBILE,1,169233,5,218,1
u_00049,27,M,WEB,0,1024540,12,66,0
u_00050,41,F,MOBILE,0,283346,6,0,0
u_00051,32,M,WEB,0,330456,4,107,0
u_00052,32,M,APP,0,831160,7,41,0
u_00053,22,M,MOBILE,0,394427,6,13,0
u_00054,31,F,APP,0,442578,5,71,1
u_00055,50,F,MOBILE,1,584027,7,35,1
