user_id,age,gender,channel,vip_grade,total_spent,order_count,recency,churn
u_00001,32.0,F,WEB,2.0,1245484.0,22,51,0
u_00002,36.0,M,WEB,3.0,374005.0,11,0,0
u_00003,37.0,M,MOBILE,0.0,3994.0,0,0,0
u_00004,22.0,M,WEB,0.0,53184.0,3,32,0
u_00005,38.0,F,MOBILE,1.0,369491.0,7,23,0
u_00006,65.0,M,MOBILE,0.0,422784.0,7,16,0
u_00007,55.0,F,APP,3.0,1076537.0,13,0,0
u_00008,31.0,M,WEB,3.0,492663.0,6,0,0
u_00009,54.0,M,WEB,2.0,317020.0,13,82,0
u_00010,27.0,M,MOBILE,1.0,379502.0,7,0,0
u_00011,63.0,M,AD,0.0,454816.0,4,118,1
u_00012,35.0,M,WEB,3.0,207045.0,6,0,0
u_00013,20.0,M,APP,1.0,167331.0,9,52,0
u_00014,41.0,F,WEB,0.0,286348.0,4,15,0
u_00015,31.0,F,WEB,2.0,882890.0,9,1,0
u_00016,27.0,F,WEB,0.0,471879.0,5,32,1
u_00017,23.0,F,AD,0.0,4734.0,0,10,0
u_00018,33.0,F,AD,2.0,623213.0,9,0,0
u_00019,37.0,F,MOBILE,0.0,215854.0,3,7,0
u_00020,41.0,M,MOBILE,0.0,662080.0,6,25,0
u_00021,29.0,F,WEB,2.0,721151.0,8,4,0
u_00022,45.0,M,APP,0.0,2386.0,0,10,0
u_00023,36.0,F,WEB,0.0,81770.0,1,45,0
u_00024,27.0,F,WEB,1.0,1054194.0,13,8,0
u_00025,40.0,F,AD,2.0,935276.0,7,24,0
u_00026,54.0,M,MOBILE,0.0,254538.0,3,4,0
u_00027,20.0,M,WEB,0.0,169195.0,2,26,1
u_00028,48.0,M,WEB,3.0,575408.0,10,0,0
u_00029,31.0,M,WEB,3.0,1634433.0,16,40,0
u_00030,47.0,F,WEB,1.0,451554.0,6,104,0
u_00031,48.0,M,WEB,0.0,904148.0,9,9,1
u_00032,41.0,M,MOBILE,2.0,411623.0,5,30,0
u_00033,32.0,M,MOBILE,0.0,103300.0,2,151,1
u_00034,27.0,F,MOBILE,0.0,100102.0,1,33,0
u_00035,36.0,F,MOBILE,2.0,770642.0,11,46,0
u_00036,24.0,M,MOBILE,0.0,424296.0,-1,7,0
u_00037,29.0,M,WEB,1.0,277632.0,6,76,0
u_00038,27.0,F,WEB,0.0,630195.0,5,44,0
u_00039,33.0,F,REFERRAL,1.0,159645.0,2,0,1
u_00040,20.0,M,APP,0.0,103215.0,3,34,1
u_00041,32.0,M,WEB,0.0,307520.0,3,21,0
u_00042,35.0,M,WEB,2.0,989891.0,10,0,0
u_00043,32.0,M,WEB,4.0,1003312.0,15,30,0
u_00044,,M,MOBILE,3.0,195000.0,13,113,0
u_00045,37.0,M,MOBILE,0.0,187703.0,2,55,1
u_00046,45.0,M,MOBILE,1.0,640682.0,11,17,0
u_00047,20.0,M,REFERRAL,1.0,452065.0,5,8,0
u_00048,32.0,F,MOBILE,1.0,169233.0,5,218,1
u_00049,27.0,M,WEB,0.0,1024540.0,12,66,0
u_00050,41.0,F,MOBILE,0.0,283346.0,6,0,0
u_00051,32.0,M,WEB,0.0,330456.0,4,107,0
u_00052,32.0,M,APP,0.0,831160.0,7,41,0
u_00053,22.0,M,MOBILE,0.0,394427.0,6,13,0
u_00054,31.0,F,APP,0.0,,5,71,1
u_00055,50.0,F,MOBILE,1.0,584027.0,7,35,1
u_00056,20.0,M,APP,0.0,1432.0,0,72,0
u_00057,30.0,M,MOBILE,3.0,475416.0,9,0,0
u_00058,55.0,M,APP,2.0,522926.0,8,0,0
u_00059,20.0,M,WEB,1.0,208990.0,5,4,0
u_00060,49.0,M,WEB,0.0,295669.0,4,0,0
u_00061,44.0,F,REFERRAL,0.0,197250.0,3,60,0
u_00062,41.0,M,WEB,1.0,890400.0,7,116,0
u_00063,23.0,M,APP,1.0,378202.0,6,132,1
u_00064,48.0,M,MOBILE,3.0,667464.0,18,18,0
u_00065,36.0,M,REFERRAL,1.0,971719.0,15,5,0
u_00066,40.0,M,MOBILE,0.0,447133.0,12,14,0
u_00067,29.0,F,WEB,0.0,422536.0,5,0,0
u_00068,37.0,F,MOBILE,1.0,407525.0,7,16,0
u_00069,32.0,M,MOBILE,3.0,1325739.0,13,0,0
u_00070,31.0,F,MOBILE,0.0,1044401.0,13,22,1
u_00071,20.0,F,AD,2.0,427682.0,6,76,0
u_00072,20.0,M,MOBILE,1.0,467353.0,5,19,0
u_00073,40.0,M,APP,3.0,2650723.0,28,5,0
u_00074,20.0,M,APP,1.0,724618.0,8,0,0
u_00075,29.0,F,AD,2.0,693798.0,9,45,0
u_00076,37.0,M,AD,0.0,304901.0,3,64,0
u_00077,27.0,M,APP,0.0,325632.0,6,19,0
u_00078,36.0,F,WEB,0.0,409845.0,8,29,0
u_00079,38.0,F,REFERRAL,5.0,1829608.0,18,0,0
u_00080,35.0,F,MOBILE,0.0,1034826.0,12,15,1
u_00081,37.0,M,WEB,0.0,1064673.0,12,32,0
u_00082,23.0,M,REFERRAL,2.0,985843.0,19,135,0
u_00083,43.0,M,REFERRAL,1.0,559760.0,6,110,1
u_00084,38.0,F,WEB,0.0,219559.0,4,96,0
u_00085,25.0,M,MOBILE,0.0,413170.0,10,352,1
u_00086,41.0,M,MOBILE,0.0,530848.0,7,0,1
u_00087,31.0,M,WEB,1.0,397853.0,5,28,0
u_00088,29.0,M,AD,4.0,1075346.0,13,0,0
u_00089,42.0,F,WEB,0.0,661391.0,11,23,0
u_00090,52.0,F,MOBILE,4.0,1516652.0,16,10,0
u_00091,37.0,F,WEB,0.0,1038781.0,11,0,0
u_00092,39.0,M,MOBILE,0.0,201163.0,3,169,1
u_00093,55.0,F,MOBILE,1.0,109823.0,1,33,0
u_00094,34.0,F,MOBILE,5.0,2017206.0,16,38,0
u_00095,31.0,M,MOBILE,0.0,577424.0,7,14,0
u_00096,37.0,F,WEB,2.0,668046.0,8,213,0
u_00097,54.0,F,WEB,0.0,111488.0,2,16,0
u_00098,34.0,M,MOBILE,0.0,334978.0,3,0,0
u_00099,20.0,F,APP,3.0,997991.0,11,11,0
u_00100,29.0,M,WEB,,111053.0,5,46,0
u_00101,20.0,M,MOBILE,0.0,89317.0,2,44,0
u_00102,43.0,F,APP,0.0,1321036.0,17,37,0
